YearStart,LocationAbbr,LocationDesc,obesity,aerobic_activity_150,muscle_strengthening_2plus,no_leisure_physical_activity,low_fruit_consumption,low_vegetable_consumption
2016,FL,Florida,27.4,NA,NA,29.8,NA,NA
2016,GA,Georgia,31.4,NA,NA,29.4,NA,NA
2016,HI,Hawaii,23.8,NA,NA,20.8,NA,NA
2016,ID,Idaho,27.4,NA,NA,20.2,NA,NA
2016,IL,Illinois,31.6,NA,NA,23.9,NA,NA
2016,IN,Indiana,32.5,NA,NA,26.8,NA,NA
2016,IA,Iowa,32,NA,NA,22.7,NA,NA
2016,KS,Kansas,31.2,NA,NA,23.5,NA,NA
2016,KY,Kentucky,34.2,NA,NA,29.8,NA,NA
2016,LA,Louisiana,35.5,NA,NA,29.1,NA,NA
2016,ME,Maine,29.9,NA,NA,20.6,NA,NA
2016,MD,Maryland,29.9,NA,NA,23.1,NA,NA
2016,MA,Massachusetts,23.6,NA,NA,20,NA,NA
2016,MI,Michigan,32.5,NA,NA,23.9,NA,NA
2016,MN,Minnesota,27.8,NA,NA,18,NA,NA
2016,MS,Mississippi,37.3,NA,NA,30.3,NA,NA
2016,MO,Missouri,31.7,NA,NA,24.9,NA,NA
2016,MT,Montana,25.5,NA,NA,19.9,NA,NA
2016,NE,Nebraska,32,NA,NA,22.4,NA,NA
2016,NV,Nevada,25.8,NA,NA,24.7,NA,NA
2016,NH,New Hampshire,26.6,NA,NA,19.3,NA,NA
2016,NJ,New Jersey,27.4,NA,NA,29.8,NA,NA
2016,NM,New Mexico,28.3,NA,NA,20.3,NA,NA
2016,NY,New York,25.5,NA,NA,26.3,NA,NA
2016,NC,North Carolina,31.8,NA,NA,23.3,NA,NA
2016,ND,North Dakota,31.9,NA,NA,22.2,NA,NA
2016,OH,Ohio,31.5,NA,NA,25.9,NA,NA
2016,OK,Oklahoma,32.8,NA,NA,28.5,NA,NA
2016,OR,Oregon,28.7,NA,NA,17.2,NA,NA
2016,PA,Pennsylvania,30.3,NA,NA,22.9,NA,NA
2016,RI,Rhode Island,26.6,NA,NA,24.4,NA,NA
2016,SC,South Carolina,32.3,NA,NA,26.9,NA,NA
2016,SD,South Dakota,29.6,NA,NA,18.9,NA,NA
2016,TN,Tennessee,34.8,NA,NA,28.4,NA,NA
2016,TX,Texas,33.7,NA,NA,25.2,NA,NA
2016,UT,Utah,25.4,NA,NA,15.7,NA,NA
2016,VT,Vermont,27.1,NA,NA,19.5,NA,NA
2016,VA,Virginia,29,NA,NA,23.3,NA,NA
2016,WA,Washington,28.6,NA,NA,17.6,NA,NA
2016,WV,West Virginia,37.7,NA,NA,28.5,NA,NA
2016,WI,Wisconsin,30.7,NA,NA,20,NA,NA
