LocationDesc,YearStart,obesity,overweight,activity_150,activity_150_strength,activity_300,muscle_strengthening,no_leisure_activity,fruit_lt_1_per_day,vegetables_lt_1_per_day
Puerto Rico,2013,27.9,38.7,NA,NA,NA,NA,NA,NA,NA
Alabama,2014,33.5,33.4,NA,NA,NA,NA,27.6,NA,NA
Alaska,2014,29.7,35.1,NA,NA,NA,NA,19.2,NA,NA
Arizona,2014,28.9,35.1,NA,NA,NA,NA,21.2,NA,NA
Arkansas,2014,35.9,34.7,NA,NA,NA,NA,30.7,NA,NA
California,2014,24.7,35,NA,NA,NA,NA,21.7,NA,NA
Colorado,2014,21.3,36.1,NA,NA,NA,NA,16.4,NA,NA
Connecticut,2014,26.3,34.1,NA,NA,NA,NA,20.6,NA,NA
Delaware,2014,30.7,36.8,NA,NA,NA,NA,24.9,NA,NA
District of Columbia,2014,21.7,33.2,NA,NA,NA,NA,20.8,NA,NA
Florida,2014,26.2,36,NA,NA,NA,NA,23.7,NA,NA
Georgia,2014,30.5,35.2,NA,NA,NA,NA,23.6,NA,NA
Hawaii,2014,22.1,36,NA,NA,NA,NA,19.6,NA,NA
Idaho,2014,28.9,36.8,NA,NA,NA,NA,18.7,NA,NA
Illinois,2014,29.3,34.5,NA,NA,NA,NA,23.9,NA,NA
Indiana,2014,32.7,33.7,NA,NA,NA,NA,26.1,NA,NA
Iowa,2014,30.9,36,NA,NA,NA,NA,22.6,NA,NA
Kansas,2014,31.3,34.7,NA,NA,NA,NA,23.8,NA,NA
Kentucky,2014,31.6,35.1,NA,NA,NA,NA,28.2,NA,NA
Louisiana,2014,34.9,34.1,NA,NA,NA,NA,29.5,NA,NA
Maine,2014,28.2,36.3,NA,NA,NA,NA,19.7,NA,NA
Maryland,2014,29.6,35.3,NA,NA,NA,NA,21.4,NA,NA
Massachusetts,2014,23.3,35.6,NA,NA,NA,NA,20.1,NA,NA
Michigan,2014,30.7,34.9,NA,NA,NA,NA,25.5,NA,NA
Minnesota,2014,27.6,36.5,NA,NA,NA,NA,20.2,NA,NA
Mississippi,2014,35.5,35.2,NA,NA,NA,NA,31.6,NA,NA
Missouri,2014,30.2,35.4,NA,NA,NA,NA,25,NA,NA
Montana,2014,26.4,36.6,NA,NA,NA,NA,19.6,NA,NA
Nebraska,2014,30.2,36.5,NA,NA,NA,NA,21.3,NA,NA
Nevada,2014,27.7,35.8,NA,NA,NA,NA,22.5,NA,NA
New Hampshire,2014,27.4,36.2,NA,NA,NA,NA,19.3,NA,NA
New Jersey,2014,26.9,36.3,NA,NA,NA,NA,23.3,NA,NA
New Mexico,2014,28.4,36.4,NA,NA,NA,NA,23.3,NA,NA
New York,2014,27,34.1,NA,NA,NA,NA,25.9,NA,NA
North Carolina,2014,29.7,35.9,NA,NA,NA,NA,23.2,NA,NA
North Dakota,2014,32.2,36.6,NA,NA,NA,NA,21.3,NA,NA
Ohio,2014,32.6,34.1,NA,NA,NA,NA,25,NA,NA
Oklahoma,2014,33,35.2,NA,NA,NA,NA,28.3,NA,NA
Oregon,2014,27.9,33.8,NA,NA,NA,NA,16.5,NA,NA
Pennsylvania,2014,30.2,33.9,NA,NA,NA,NA,23.3,NA,NA
Rhode Island,2014,27,35.5,NA,NA,NA,NA,22.5,NA,NA
South Carolina,2014,32.1,35,NA,NA,NA,NA,25.3,NA,NA
South Dakota,2014,29.8,35.4,NA,NA,NA,NA,21.2,NA,NA
Tennessee,2014,31.2,35.9,NA,NA,NA,NA,26.8,NA,NA
Texas,2014,31.9,35.9,NA,NA,NA,NA,27.6,NA,NA
Utah,2014,25.7,33.8,NA,NA,NA,NA,16.8,NA,NA
Vermont,2014,24.8,35.4,NA,NA,NA,NA,19,NA,NA
Virginia,2014,28.5,36.3,NA,NA,NA,NA,23.5,NA,NA
Washington,2014,27.3,36.1,NA,NA,NA,NA,18.1,NA,NA
West Virginia,2014,35.7,34,NA,NA,NA,NA,28.7,NA,NA
Wisconsin,2014,31.2,36.2,NA,NA,NA,NA,21.2,NA,NA
Wyoming,2014,29.5,35.2,NA,NA,NA,NA,22.1,NA,NA
National,2014,28.9,35.2,NA,NA,NA,NA,23.7,NA,NA
Guam,2014,28,35.4,NA,NA,NA,NA,27.7,NA,NA
Puerto Rico,2014,28.3,37.6,NA,NA,NA,NA,40.6,NA,NA
Alabama,2015,35.6,33,44.6,16.7,26.1,25.7,31.9,NA,NA
Alaska,2015,29.8,37.4,58.3,24.3,37,34.1,22,NA,NA
Arizona,2015,28.4,36.9,53.8,21.8,33.4,30.7,24.7,NA,NA
Arkansas,2015,34.5,35,45.1,15.6,28.3,24.4,34.2,NA,NA
California,2015,24.2,36.2,57.3,22.9,35.3,33,20,NA,NA
Colorado,2015,20.2,36.4,60.6,26.2,39,35.4,17.9,NA,NA
Connecticut,2015,25.3,36.4,54.5,21.3,33.7,31.2,23.5,NA,NA
Delaware,2015,29.7,37.2,48.5,20.3,30.2,30.5,29.4,NA,NA
District of Columbia,2015,22.1,32.2,57.9,23.7,34.8,33.6,19.4,NA,NA
Florida,2015,26.8,37.3,51.6,21.7,32.8,31.9,26.2,NA,NA
Georgia,2015,30.7,34.8,48,18.7,30.7,29.6,27.3,NA,NA
Hawaii,2015,22.7,34.3,56.6,23.6,37,33.3,22.5,NA,NA
Idaho,2015,28.6,36.6,55.3,21.3,34.6,29.9,21.2,NA,NA
Illinois,2015,30.8,35.4,49.8,21.3,29.8,31.5,24.8,NA,NA
Indiana,2015,31.3,35.2,44.1,15.6,26.2,27,29.4,NA,NA
Iowa,2015,32.1,34.5,48.8,19.4,27.7,29.8,26.3,NA,NA
Kansas,2015,34.2,33.8,50,19.3,30.2,29,26.5,NA,NA
Kentucky,2015,34.6,32.6,45.2,18,28.6,28.4,32.5,NA,NA
Louisiana,2015,36.2,33,46.2,18.7,28.2,27.2,31.9,NA,NA
Maine,2015,30,36.5,53.9,18.9,35.6,27.9,24.8,NA,NA
Maryland,2015,28.9,36.1,52.9,22.9,31.1,32.7,24.1,NA,NA
Massachusetts,2015,24.3,35.4,51.8,21.3,31.2,31.5,26.5,NA,NA
Michigan,2015,31.2,35.1,52.1,19.5,33.4,29.3,25.5,NA,NA
Minnesota,2015,26.1,36.7,54.9,21.8,33.7,31.9,21.8,NA,NA
Mississippi,2015,35.6,34.5,38,15.3,21.9,26.5,36.8,NA,NA
Missouri,2015,32.4,33.9,50.5,19.1,32,28.8,27,NA,NA
Montana,2015,23.6,37.4,58.2,24.5,40.1,32.9,22.5,NA,NA
Nebraska,2015,31.4,35.6,51.3,21.8,29.4,31.2,25.3,NA,NA
