YearStart,LocationAbbr,LocationDesc,obesity,aerobic_activity_150,muscle_strengthening_2plus,no_leisure_physical_activity
2023,CA,California,27.7,62.2,39.7,22.9
2023,CO,Colorado,24.9,67,44.8,17.5
2023,CT,Connecticut,29.4,57.3,43.2,25.5
2023,DE,Delaware,35.7,59.9,38.6,26
2023,DC,District of Columbia,23.5,67.8,49.1,15.2
2023,FL,Florida,30.1,60,43.6,25.4
2023,GA,Georgia,35,58.8,41.6,24.7
2023,HI,Hawaii,26.1,63.8,43.2,21.7
2023,ID,Idaho,31,64.7,39.1,21.1
2023,IL,Illinois,36,61.2,39.8,21.4
2023,IN,Indiana,37.8,61.9,40.3,24.4
2023,IA,Iowa,37.8,58.6,36.4,24.1
2023,KS,Kansas,35.9,58.5,38.5,24.9
2023,LA,Louisiana,39.9,54.5,40.8,30.1
2023,ME,Maine,32.6,66.1,38.9,22.6
2023,MD,Maryland,34.1,59.8,42.4,22.7
2023,MA,Massachusetts,27.4,63.5,41.3,22
2023,MI,Michigan,35.4,59.1,42,25.3
2023,MN,Minnesota,33.3,62.3,41.1,22.8
2023,MS,Mississippi,40.1,51.2,35.2,33.4
2023,MO,Missouri,35.3,53.9,35.3,28.1
2023,MT,Montana,30.5,66.3,43.2,19.6
2023,NE,Nebraska,36.6,60,39.2,23.8
2023,NV,Nevada,30.8,58.3,42.9,25.7
2023,NH,New Hampshire,32.8,63.3,43.4,21.2
2023,NJ,New Jersey,28.9,59.3,43.3,24.2
2023,NM,New Mexico,35.3,61.6,41.3,24
2023,NY,New York,28,58.4,41.8,26.1
2023,NC,North Carolina,34,59.9,34.1,21.9
2023,ND,North Dakota,35.6,63.5,41.2,21.5
2023,OH,Ohio,36.4,58,42.3,26.4
2023,OK,Oklahoma,38.7,51.1,34.1,31
2023,OR,Oregon,33.6,67,41,19.4
2023,RI,Rhode Island,31.6,57.3,40.7,26.4
2023,SC,South Carolina,36,59.1,44.3,26.3
2023,SD,South Dakota,36,59.3,38.4,25.7
2023,TN,Tennessee,37.6,57.6,40.7,26
2023,TX,Texas,34.4,56.5,42.9,27.8
2023,UT,Utah,30.2,65.1,44.5,16.2
2023,VT,Vermont,28.8,66.5,41.9,20.3
2023,VA,Virginia,34.3,63.5,42.3,22.3
2023,WA,Washington,30.6,66.5,40.9,18.1
2023,WV,West Virginia,41.2,53.1,30.7,32
2023,WI,Wisconsin,35.9,58,39.2,26.8
2023,WY,Wyoming,33.3,60.9,42,26.2
2023,US,National,32.8,59.9,41,24.5
2023,GU,Guam,35.4,55.3,42,28.7
2023,PR,Puerto Rico,36,33.9,15,52.1
2023,VI,Virgin Islands,32.1,55.4,37.1,31.2
